suite	rep	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	exit_code	wall_ms	submitted	batches	sum_build_ms	sum_pack_ms	sum_submit_ack_ms	sum_inproc_ms	zmq	throughput_tx_s	bench_oneway_ms	host	nproc	unix_ts
standard	1	128	8	64	inproc	0	NA	NA	0	31.296875	128	2	59.651123	0.000000	0.000000	0.000000	0	4089.865202	NA	Ada	12	1774747734
standard	2	128	8	64	inproc	0	NA	NA	0	36.897217	128	2	71.758301	0.000000	0.000000	0.000000	0	3469.096347	NA	Ada	12	1774747734
standard	3	128	8	64	inproc	0	NA	NA	0	40.306885	128	2	75.246094	0.000000	0.000000	0.000000	0	3175.636141	NA	Ada	12	1774747734
standard	1	128	8	64	zmq	NA	0	0	0	30.145996	128	2	53.595947	0.073975	2.164795	0.000000	1	4246.003337	NA	Ada	12	1774747736
standard	2	128	8	64	zmq	NA	0	0	0	116.463867	128	2	112.343994	0.102051	101.723877	0.000000	1	1099.053321	NA	Ada	12	1774747737
standard	3	128	8	64	zmq	NA	0	0	0	196.126953	128	2	95.489014	0.175049	220.039062	0.000000	1	652.638497	NA	Ada	12	1774747739
standard	1	128	8	64	zmq	NA	0	1	0	25.563965	128	2	45.063232	0.028809	1.907959	0.000000	1	5007.048037	NA	Ada	12	1774747741
standard	2	128	8	64	zmq	NA	0	1	0	239.730957	128	2	58.379150	0.043945	363.106201	0.000000	1	533.931878	NA	Ada	12	1774747742
standard	3	128	8	64	zmq	NA	0	1	0	29.524902	128	2	54.564941	0.041992	1.851074	0.000000	1	4335.323400	NA	Ada	12	1774747743
standard	1	128	8	128	inproc	0	NA	NA	0	54.936035	128	1	49.499023	0.000000	0.000000	0.000000	0	2329.982490	NA	Ada	12	1774747743
standard	2	128	8	128	inproc	0	NA	NA	0	56.020020	128	1	55.128174	0.000000	0.000000	0.000000	0	2284.897454	NA	Ada	12	1774747743
standard	3	128	8	128	inproc	0	NA	NA	0	59.432861	128	1	58.753906	0.000000	0.000000	0.000000	0	2153.690688	NA	Ada	12	1774747743
standard	1	128	8	128	zmq	NA	0	0	0	68.349121	128	1	64.086914	0.051025	0.963867	0.000000	1	1872.738054	NA	Ada	12	1774747746
standard	2	128	8	128	zmq	NA	0	0	0	228.538818	128	1	66.874023	0.051025	157.956055	0.000000	1	560.079906	NA	Ada	12	1774747747
